id,Attribute,en,hi

12,Body,Glific,ग्लिफिक

12,**GlobalButtonTitle**,button text,टेक्स्ट बटन

12,ItemTitle 1,Glific Features,ग्लिफिक विशेषताएं

12,ItemSubtitle 1,first Subtitle,पहला उपशीर्षक

12,OptionTitle 1.1,Custom Flows,कस्टम प्रवाह

12,OptionDescription 1.1,Flow Editor for creating flows,प्रवाह बनाने के लिए प्रवाह संपादक

12,OptionTitle 1.2,Analytic Reports,विश्लेषणात्मक रिपोर्ट

12,OptionDescription 1.2,DataStudio for report generation,रिपोर्ट निर्माण के लिए डेटास्टूडियो

12,OptionTitle 1.3,ML/AI,एमएल/एआई

12,OptionDescription 1.3,Dialogflow for AI/ML,AI/ML के लिए डायलॉगफ़्लो

12,ItemTitle 2,Glific Usecases,ग्लिफिक उपयोग के मामले

12,ItemSubtitle 2,some usecases of Glific,ग्लिफिक के कुछ उपयोग

12,OptionTitle 2.1,Educational programs,शिक्षण कार्यक्रम

12,OptionDescription 2.1,Sharing education content with school student,स्कूली छात्रों के साथ शिक्षा सामग्री साझा करना

12,ItemTitle 3,Onboarded NGOs,शामिल किए गए एनजीओ

12,ItemSubtitle 3,List of NGOs onboarded,शामिल किए गए एनजीओ की सूची

12,OptionTitle 3.1,SOL,प

12,OptionDescription 3.1,Slam Out Loud is a non-profit with a vision to change lives.,स्लैम आउट लाउड एक गैर-लाभकारी संगठन है जिसका उद्देश्य जीवन में बदलाव लाना है।
